node,indegree,outdegree,degree,betweenness,closeness,eigenvector,layer,race,grade,gender
1,8.0,0.0,8,0.07444444444444445,0.6259259259259259,0.36007826566141266,friend,white,10,male
2,4.0,5.0,9,0.026507936507936508,0.5365079365079365,0.18544455400109258,friend,black,10,female
3,5.0,5.0,10,0.04507936507936509,0.5633333333333334,0.2637943437009133,friend,white,10,female
4,0.0,0.0,0,0.0,0.0,7.269983376091195e-22,friend,white,11,female
5,4.0,6.0,10,0.03317460317460318,0.5633333333333334,0.28260471416232164,friend,white,10,male
6,3.0,7.0,10,0.04507936507936509,0.5929824561403509,0.3236036787321906,friend,white,10,female
7,5.0,4.0,9,0.04190476190476191,0.5633333333333334,0.22386510237884172,friend,black,10,female
8,5.0,6.0,11,0.04396825396825397,0.5633333333333334,0.218171160281172,friend,black,10,female
9,3.0,5.0,8,0.0061904761904761916,0.5121212121212122,0.2517288830740482,friend,white,10,female
10,4.0,4.0,8,0.022539682539682544,0.5633333333333334,0.33432348260927763,friend,black,11,male
11,3.0,5.0,8,0.00380952380952381,0.5121212121212122,0.2523048431780684,friend,white,10,male
12,5.0,3.0,8,0.032380952380952385,0.5633333333333334,0.28951700845649253,friend,black,11,female
13,3.0,4.0,7,0.0,0.4506666666666667,0.135436822776072,friend,white,10,female
14,5.0,4.0,9,0.05777777777777779,0.5633333333333334,0.212280838657882,friend,black,10,female
15,5.0,4.0,9,0.06238095238095239,0.5929824561403509,0.31311939978917264,friend,black,10,female
16,0.0,0.0,0,0.0,0.0,7.269983376091195e-22,friend,black,13,male
1,,,9,0.023764172335600915,0.7142857142857143,0.26259593323133185,social,white,10,male
2,,,7,0.00891156462585034,0.6521739130434783,0.20475553696247245,social,black,10,female
3,,,8,0.021609977324263036,0.6818181818181818,0.2349370247370935,social,white,10,female
4,,,2,0.0,0.5357142857142857,0.07474063854570898,social,white,11,female
5,,,8,0.015873015873015872,0.6818181818181818,0.2410095869915598,social,white,10,male
6,,,8,0.012902494331065762,0.6818181818181818,0.24548465380130535,social,white,10,female
7,,,7,0.010408163265306122,0.6521739130434783,0.2053256429001239,social,black,10,female
8,,,10,0.03421768707482993,0.75,0.2828729409323825,social,black,10,female
9,,,5,0.0,0.6,0.16047339900900154,social,white,10,female
10,,,11,0.0773922902494331,0.7894736842105263,0.292688483788937,social,black,11,male
11,,,9,0.015827664399092972,0.7142857142857143,0.2721541504014939,social,white,10,male
12,,,9,0.03507936507936508,0.7142857142857143,0.2542620749639211,social,black,11,female
13,,,8,0.02002267573696145,0.6818181818181818,0.23145842938284056,social,white,10,female
14,,,9,0.025260770975056687,0.7142857142857143,0.2619433266492987,social,black,10,female
15,,,9,0.030907029478458057,0.7142857142857143,0.2599985571367664,social,black,10,female
16,,,15,0.17258503401360542,1.0,0.38456600912405725,social,black,13,male
1,,,6,0.01746031746031746,0.625,0.25704103776485293,task,white,10,male
2,,,6,0.020952380952380955,0.625,0.2413135236305867,task,black,10,female
3,,,4,0.0,0.5769230769230769,0.17533798290930236,task,white,10,female
4,,,2,0.0,0.5357142857142857,0.11328690356319707,task,white,11,female
5,,,7,0.04476190476190476,0.6521739130434783,0.2679879348952381,task,white,10,male
6,,,6,0.02380952380952381,0.625,0.24210589392145995,task,white,10,female
7,,,5,0.001904761904761905,0.6,0.20847191609385954,task,black,10,female
8,,,5,0.001904761904761905,0.6,0.20847191609385954,task,black,10,female
9,,,5,0.0,0.6,0.22233410090533626,task,white,10,female
10,,,7,0.04126984126984127,0.6521739130434783,0.26836068873737795,task,black,11,male
11,,,4,0.0,0.5769230769230769,0.17533798290930236,task,white,10,male
12,,,5,0.0,0.6,0.22233410090533626,task,black,11,female
13,,,5,0.009523809523809523,0.6,0.21116591949564087,task,white,10,female
14,,,6,0.023809523809523808,0.625,0.2471857783364971,task,black,10,female
15,,,6,0.01904761904761905,0.625,0.2535864954300871,task,black,10,female
16,,,15,0.49079365079365084,1.0,0.49309506500639366,task,black,13,male
