node,layer_count,total_degree,participation_coefficient,embedding_score,race,grade,gender
1,3,23,0.9868,12.5342,white,10,male
2,3,22,0.9855,12.4065,black,10,female
3,3,22,0.9421,12.4065,white,10,female
4,2,4,1.0,5.2189,white,11,female
5,3,25,0.9888,12.7743,white,10,male
6,3,24,0.9792,12.6566,white,10,female
7,3,21,0.9728,12.2731,black,10,female
8,3,26,0.9541,12.8875,black,10,female
9,3,18,0.9722,11.8333,white,10,female
10,3,26,0.9808,12.8875,black,11,male
11,3,21,0.9524,12.2731,white,10,male
12,3,22,0.9731,12.4065,black,11,female
13,3,20,0.9825,12.1336,white,10,female
14,3,24,0.9844,12.6566,black,10,female
15,3,24,0.9844,12.6566,black,10,female
16,2,30,1.0,8.868,black,13,male
